Dealer Name,Address,Phone,Fax,City Name,Province Name,Tradein,Charging Station,TOSS
AUTO2000 Way Halim,"Jl. Soekarno Hatta KM. 10, Kecamatan Way Halim, Bandar Lampung, Lampung 35135",(0721) 56212000,(0721) 5617771,Bandar Lampung,LAMPUNG,Available,Not Available,Available
Tunas Auto Graha Prabumulih,Jl. Jendral Sudirman No. 8 Km 12 - Kec. Cambai Kota Prabumulih,(0713) 320799,(0713) 320799,Prabumulih,SUMATERA SELATAN,Available,Not Available,Not Available
Surya Indah Motor Jepara,"Jl. Jend. Hugeng Imam santoso KM.9, Jepara",(0291) 7519007,(0291) 7519010,Jepara,JAWA TENGAH,Available,Not Available,Not Available
AUTO2000 Denpasar,"Jl. HOS Cokroaminoto 81, Ubung, Denpasar 80116,",(0361) 422000 (Hunting),(0361) 4201333,Denpasar,BALI,Available,Not Available,Available
AUTO2000 Sanur,"Jl. Bypass I Gusti Ngurah Rai No. 395, Denpasar 8022,",(0361) 282000 (Hunting),(0361) 271234,Denpasar,BALI,Available,Not Available,Available
Agung Toyota Denpasar,"Jl. HOS Cokroaminoto 47, Ubung, Denpasar 80116",(0361) 425547 (Hunting),(0361) 420151,Denpasar,BALI,Available,Not Available,Not Available
Agung Toyota Kuta,"Jl. Sunset Road, Seminyak, Kuta",(0361) 9220099,(0361) 9220088,Denpasar,BALI,Available,Available,Not Available
AUTO2000 Singaraja,"Jl. Raya Singaraja Seririt, Bk. Dinas Dharma Raya, Desa Tukadmungga, Kec. Buleleng, Kab. Buleleng",(0362) 32000,(0362) 3391550,Singaraja,BALI,Available,Not Available,Available
Agung Toyota Singaraja,"Jl. WR Supratman No. 100, Singaraja",(0362) 29251,(0362) 24846,Singaraja,BALI,Available,Not Available,Not Available
AUTO2000 Gianyar,Jl. Semabaung No 89 Gianyar,(0361) 952000,(0361) 952552,Gianyar,BALI,Available,Not Available,Available
Agung Toyota Gianyar,"Jl. Dharma Giri, Buruan, blah batuh, Gianyar 80581",(0361) 948888,(0361) 955000,Gianyar,BALI,Available,Not Available,Not Available
Agung Toyota Bagan Batu,"Jl. Lintas Riau Sumatera Utara, Simpang Pujud Km. 7 Bagan Batu Riau",(0765) 5650000,(0765) 5650111,Bagan Batu,RIAU,Available,Not Available,Not Available
AUTO2000 Banyuwangi,Jl. S. Parman 28 Banyuwangi,(0333) 422000,(0333) 424953,Banyuwangi,JAWA TIMUR,Available,Available,Available
AUTO2000 Bukit Tinggi,"Jl. Raya Bukit Tinggi Km. 4, Sumatera Barat",(0752) 32000,(0752) 32804,Bukit Tinggi,SUMATERA BARAT,Available,Not Available,Available
Hasjrat Toyota Bitung,"Jl. Wolter Monginsidi, kel. Girian Weru Dua Kec. Girian - Kota Bitung, Sulawesi Utara",(0438) 36388,(0438) 21097,Bitung,SULAWESI UTARA,Available,Not Available,Not Available
AUTO2000 Jatiwangi Majalengka,"Jl. Jatiwangi - Majalengka, Kompleks Jatiwangi Square Blok C - 6 s/d 8, Desa",(0233) 882000,(0233) 8281081,Majalengka,JAWA BARAT,Available,Not Available,Available
Agung Toyota Dumai,"Jl. Sultan Hasanudin/ Kelakap 7, Putri Sima , Dumai, Riau","(0765) 439330, 37900, 33900",(0765) 37700,Dumai,RIAU,Available,Not Available,Not Available
AUTO2000 KOTABUMI,Jl. Alamsyah Ratu Perwira Negara Kel. Kelapa Tujuh Kec. Kotabumi Selatan Kab. Lampung Utara,(0742) 3290900,(0742) 32909001,Lampung Utara,LAMPUNG,Available,Not Available,Available
AUTO2000 Pandeglang,"Jl. Raya Labuan Km. 5, Kaduhejo, Kabupaten Pandeglang, Banten, 42253",(0253) 5552000,(0253) 5552497,Pandeglang,BANTEN,Available,Not Available,Available
Kalla Toyota Gowa,"Jl. Poros Gowa - Takalar Desa Panyangkalang, Kec. Bajeng, Kab. Gowa","(0418) 2311766, 2312606",,Gowa,SULAWESI SELATAN,Available,Not Available,Available
AUTO2000 Kuningan,"Jl. RE Martadinata, Cidemak, Desa Kertawangun, Kec. Garawangi, Kab. Kuningan",(0232) 8612000,(0232) 8911475,Kuningan,JAWA BARAT,Available,Not Available,Available
Nasmoco Pati,Jl. Raya Pati - Juwana KM 2.7 - Pati 591118,0295-4199111,0295-4199100,Pati,JAWA TENGAH,Available,Not Available,Available
Nasmoco Purbalingga,"Jl. Soekarno Hatta, Desa Kalikabong, Kel. Kalikabong, Kec. Kalimanah, Kab. Purbalingga",0281-8901888,0281-8901777,Purbalingga,JAWA TENGAH,Not Available,Not Available,Available
Nasmoco Demak,Jl. Raya Demak-Kudus Km 4 RT.007/ RW.004 Bango Kec. Demak,0291-6912888,0291-6912999,Demak,JAWA TENGAH,Available,Not Available,Available
AUTO2000 Tulungagung,"Jl. Pahlawan, Kel. Rejoagung, Kec. Kedungwaru, Kab. Tulungagung",(0355) 332000,(0355) 7622118,Tulungagung,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Pasuruan,"Jl. Ahmad Yani No. 226, Karangketug, Gadingrejo, Pasuruan, Jawa Timur 67135",(0343) 412000,(0343) 5612328,Pasuruan,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Jombang,"Jl. Soekarno Hatta, Desa Kepuh Kembang, Kecamatan Peterongan, Kab. Jombang",(0321) 8492000,(0321) 8495193,Jombang,JAWA TIMUR,Available,Not Available,Available
AUTO2000 Tanjung Morawa,"Jl. Medan – Lubuk Pakam km 24,5 Dusun III, Desa Perdamean, Kec. Tanjung Morawa, Kab. Deli Serdang, Sumatera Utara",(061) 25802000,(061) 79759758,Deli Serdang,SUMATERA UTARA,Available,Not Available,Available
AUTO2000 Sekayu,"Jl. Kolonel Wahid Udin Lk II, RT.5 RW.3 Kel. Kayuara, Kec. Sekayu, Kab. Musi Banyuasin, Sumatera Selatan, 30711",(0714) 3242000,(0714) 3241000,Musi Banyuasin,SUMATERA SELATAN,Available,Not Available,Available
AUTO2000 Rantauprapat,"Jl. Sisingamangaraja Rantauprapat, Kec. Rantau Selatan, Kab. Labuhan Batu",(062) 42602000,(062) 42602001,Labuhan Batu,SUMATERA UTARA,Available,Not Available,Available
AUTO2000 Kisaran,"Jl. M. Yamin Kecamatan Kisaran Naga, Kota Kisaran Timur, Kab. Asahan",(062) 33442000,(062) 33442927,Asahan,SUMATERA UTARA,Available,Not Available,Available
AUTO2000 Baturaja,"Jl. Garuda Tanjung Baru, Kec. Baturaja Timur, Kab. Ogan Komering Ulu",(0735) 3742000,(0735) 3742121,Ogan Komering Ulu (OKU),SUMATERA SELATAN,Available,Not Available,Available
AUTO2000 Kalianda,"Jl. Trans Sumatera LK. 10, RT.001 RW.003, Kel. Way Urang, Kec. Kalianda, Kabupaten Lampung Selatan, Provinsi Lampung, 35513",(0727) 3330200,(0727) 3330201,Lampung Selatan,LAMPUNG,Available,Not Available,Available
AUTO2000 Cikupa,Jl. Raya Serang KM.16 No.54-55 Cikupa Tangerang 15710,(021) 29862000,(021) 29669970,Cikupa,BANTEN,Available,Not Available,Available
Nasmoco Klaten,"Jl. Raya Solo-Klaten Km.4 Klaten Utara, Klaten",0272-3359595,(0272) 3359590,Klaten,JAWA TENGAH,Available,Not Available,Available
AUTO2000 Tulang Bawang,Jl. Lintas Timur Agung Dalam RT.05 RW.03 Kec. Banjar Margo Kabupaten Tulang Bawang - Lampung,(0726) 7752000 (Hunting),(0726) 7758183,Tulang Bawang,LAMPUNG,Available,Not Available,Available
Dunia Barusa Meulaboh,"Jl. Meulaboh - Tapaktuan No. 8 Desa Langung Kec. Meureubo,Meulaboh",0655-7552688,(0655) 7552677,Aceh Barat,ACEH,Available,Not Available,Not Available
Hasjrat Toyota Timika,Jl. Cendrawasih No.10-Timika-98663,(0901) 321679,(0901) 323477,Timika,PAPUA,Available,Not Available,Not Available
Agung Toyota Teluk Kuantan,"Jl. Proklamasi No. 13 Kel. Sungai Jering, Kec Kuantan Tengah, Teluk Kuantan - Riau","(0760) 2524050, 2524051, 2524000",(0760) 2524048,Teluk Kuantan,RIAU,Available,Not Available,Not Available
AUTO2000 Tenggarong,"Jl. Pesut, Desa Timbau, Kec. Tenggarong, Kab. Kutai Kartanegara, Kalimantan Timur",(0541) 662000,(0541) 6720033,Kutai Kertanegara,KALIMANTAN TIMUR,Available,Not Available,Available
Graha Toyota Kutaikartanegara,"Jl. Manunggal Jaya L2 Tenggarong seberang, Kab.Kutai Kartanegara, Kalimantan Timur","(0541) 735155, 732184",,Kutai Kertanegara,KALIMANTAN TIMUR,Not Available,Not Available,Available
AUTO2000 Sangatta,"Jl. A.W. Syahranie RT.04/ RW.01, Kelurahan Teluk Lingga, Kec. Sangatta Utara, Kab. Kutai Timur, Kalimantan Timur",(0549) 2022000,(0549) 2024004,Kutai Timur,KALIMANTAN TIMUR,Available,Not Available,Available
Agung Toyota Ujung Batu,"Jalan Jendral Sudirman KM 2 Ujung Batu, Riau",(0762) 62525,(0762) 62224,Ujung Batu,RIAU,Available,Not Available,Not Available
Anzon Toyota Sintang,Jl. Sintang - Pontianak Km. 10 Kab. Sintang 78611,(0565) 24222 (Hunting),(0565) 24555,Sintang,KALIMANTAN BARAT,Available,Not Available,Not Available
Kalla Toyota Polmas,"Jl. Teuku Umar No. 3, Kec. Binuang Polewali Mandar","(0428) 2410777, 2410779",(0428) 2410778,Polman,SULAWESI BARAT,Available,Not Available,Available
AUTO2000 Binjai,"Jl. Medan Binjai Km. 16,7 Desa Sei Semayang, Kecamatan Sunggal, Deliserdang 20351",(061) 42362000,(061) 88740076,Binjai,SUMATERA UTARA,Available,Not Available,Available
Agung Toyota Muara Bungo,"Jl. Lintas Sumatra Km. 2, Muara Bungo - Jambi",(0747) 321345,(0747) 321454,Muara Bungo,JAMBI,Available,Not Available,Not Available
Tunas Toyota Bandar Jaya Lampung,"jalan Raya Negara Kel. Seputih Jaya RT 04/02 Kec. Gunung Sugih, Lampung Tengah",(0725) 528555,(0725) 528777,Lampung,LAMPUNG,Available,Not Available,Available
Nasmoco Slamet Riyadi,"Jl. Slamet Riyadi 558, Solo 57144",(0271) 715355 (Hunting),(0271) 711185,Solo,JAWA TENGAH,Available,Not Available,Available
Nasmoco Solo Baru,"Jl. Raya Solo Permai Blok JA No. 1, Solo Baru, Solo 57552",(0271) 621000 (Hunting),(0271) 620188,Solo,JAWA TENGAH,Available,Not Available,Available
Nasmoco Ring Road,"Jl. Raya Ring Road Mojosongo - Sroyo, Karang Anyar, Solo",(0271) 8202303,(0271) 8202 302,Solo,JAWA TENGAH,Available,Not Available,Available
Nasmoco Purwokerto,"Jl. Gerilya Timur No.56, Purwokerto 53146","(0281) 634436 (Hunting), 634437",(0281) 640678,Purwokerto,JAWA TENGAH,Available,Not Available,Available
Nasmoco Karangjati,"Jl. Soekarno Hatta Km. 26, Karangjati, Bergas, Kabupaten Semarang",(0298) 5200020,(0298) 5200030,Karangjati,JAWA TENGAH,Available,Not Available,Available
AUTO2000 Raden Intan,"Jalan Raden Intan 61A, Tanjung Karang, Lampung",(0721) 252000,(0721) 264923,Tanjung Karang,LAMPUNG,Available,Available,Available
AUTO2000 Raja Basa,"Jl. Raya Hadji Mena no. 2000, Natar, Lampung Selatan 35362",(0721) 782000,"(0721) 708788, (0721) 789176",Tanjung Karang,LAMPUNG,Available,Not Available,Available
Krida Toyota Selong SP,"Jl. Selaparang No. 10, Lombok Timur, NTB 83611",(0376) 3502557,,Lombok Timur,NUSA TENGGARA BARAT,Not Available,Not Available,Available
Krida Toyota Praya,"Jl. Gajah Mada (komplek ruko depan STPDN), Leneng, Praya, Lombok Tengah, Nusa Tenggara Barat 83116",,,Lombok Tengah,NUSA TENGGARA BARAT,Not Available,Not Available,Available
Krida Toyota Bima,"Jl. Soekarno Hatta No.9, Monggonao, Mpunda, Bima, Nusa Tenggara Barat 84111",(0374) 6648896,,Bima,NUSA TENGGARA BARAT,Not Available,Not Available,Available
